Product;ASIN;SKU;Units;Refunds;Sales;Promo;Ads;Sponsored products (PPC);Sponsored Display;Sponsored brands (HSA);Sponsored Brands Video;Google ads;Facebook ads;% Refunds;Sellable Quota;Refund сost;Amazon fees;Cost of Goods;Gross profit;Net profit;Estimated payout;Expenses;Margin;ROI;BSR;Real ACOS;Sessions;Unit Session Percentage
La Granja de Zenon, Set de Figuritas de Acción y Aventura para Niños, 12 Figuritas + Lonchera Edición Limitada Color Dorado | Zenon, Vaca Lola. Bartolito, Lorito Pepe y mas COG: 14.46 / Price: 58.95;B0BWYXZX44;LAGDZG722P;886.0;11.0;35 416.27;-1 281.49;-5 391.85;-4 963.82;-9.7;-156.62;-261.71;;;1.24;55.56;-289.26;-11 694.42;-14 945.95;1 813.30;1 813.30;16 675;;5.12;12.13;;15.22;16 817;5.27
LUPPA Masha and The Bear Playset House, Top Notch Premium 6-Velvety Figurine Set in Tin-Lunchbox Easy to Carry & Store, Collectors' Delight COG: 12.56 / Price: 42.95;B0BZPD9TGB;MASHA725P;671.0;5.0;23 178.07;-188.69;-1 086.73;-637.65;-8.78;-440.3;;;;0.75;33.33;-148.36;-10 544.72;-8 427.76;2 781.81;2 781.81;11 197.01;;12.0;33.01;;4.69;8 816;7.61
"""Peppa Pig Toddler Busy Board – Montessori toys for 1 2 3 4 Year Old, Educational Activity Sensory Board for Preschool Learning Fine Motor Skills, Gift Toys for Boys Girls, Airplane Car Travel Toy COG: 6.08 / Price: 24.95""";nan B0C7QZCXZH;nan PEPPAP751P;nan 418.0;nan 8.0;nan 7 306.33;nan -36.74;nan -3 112.8;nan -2 491.66;nan nan;nan -97.31;nan -523.83;nan nan;nan nan;nan 1.91;nan 100;nan -123.96;nan -3 495.37;nan -2 541.44;nan -2 003.98;nan -2 003.98;nan 519.22;nan nan;nan -27.43;nan -78.85;nan nan;nan 42.6;nan 7 122;nan 5.87
"""LUPPA Masha and The Bear Toys Playset: 13 Figures with Tin Box of The Bear´s House I Masha and The Bear I Figures and Dolls of TV Programs I Toys for Girls I Kids Toys COG: 17.28 / Price: 58.95""";nan B0B1F7D4SR;nan MASHA721P;nan 309.0;nan 5.0;nan 16 181.44;nan -214.84;nan -2 366.67;nan -843.24;nan nan;nan -679.05;nan -844.38;nan nan;nan nan;nan 1.62;nan 25;nan -211.22;nan -4 888.71;nan -5 374.08;nan 3 125.92;nan 3 125.92;nan 8 482.72;nan nan;nan 19.32;nan 58.17;nan nan;nan 14.63;nan 12 202;nan 2.53
"""LUPPA Pocoyo Montessori Busy Board - Preschool Learning Fun with Alphabet & Numbers, Ideal Educational Travel Toy for 3-4 Year-Olds (Busy Board) COG: 5.69 / Price: 24.99""";nan B0C7QXV6W1;nan POCOYO801P;nan 145.0;nan nan;nan 2 828.66;nan -16.5;nan -952.88;nan -952.88;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -1 074.99;nan -825.05;nan -40.76;nan -40.76;nan 784.29;nan nan;nan -1.44;nan -4.94;nan nan;nan 33.69;nan 2 281;nan 6.36
"""LUPPA Kid's Wooden Magnetic Daily Calendar - Interactive Learning, Reusable Schedule, Fun Chore Chart - SparkJoy Set for a Colorful Daily Routine! Peppa Pig Wooden Calendar COG: 5.96 / Price: 11.95""";nan B0C7L5274R;nan PEPPAP752P;nan 54.0;nan nan;nan 617.51;nan -16.94;nan -627.41;nan -627.41;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -665.89;nan -321.84;nan -1 014.57;nan -1 014.57;nan -692.73;nan nan;nan -164.3;nan -315.24;nan nan;nan 101.6;nan 862;nan 6.26
"""LUPPA Washable Dot Paints for Toddlers - 8 Markers with Free PDF Activity Book, Dauber Markers for Preschool Toddler Arts and Crafts Kits, Water-Based Supplies. COG: 4.82 / Price: 7.99""";nan B0C7R31ZY2;nan LAGDZE804P;nan 24.0;nan nan;nan 113.94;nan nan;nan -90.75;nan -90.75;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -152.23;nan -115.68;nan -244.72;nan -244.72;nan -129.04;nan nan;nan -214.78;nan -211.55;nan nan;nan 79.65;nan 433;nan 5.54
"""La Granja de Zenon Montessori Actividades Aprendizaje - Preschool Learning Divertido con Alphabet & Numeros, Ideal Educational Travel Toy for 3-4 Year-Olds. Bartolito - Vaca Loca – Percheron COG: 6.13 / Price: 12.76""";nan B0C7R12J8W;nan LAGDZE801P;nan 14.0;nan nan;nan 250.63;nan -1.1;nan -150.4;nan -150.4;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -112.94;nan -85.82;nan -99.63;nan -99.63;nan -13.81;nan nan;nan -39.75;nan -116.09;nan nan;nan 60.01;nan 642;nan 2.18
"""Peppa Pig My First Magnetic Calendar for Kids - Engaging Learning, Reusable Schedule, and Fun Chore Chart - Colorful Daily Routine! Perfect for Wall or Fridge, Preschool Learning, and Classroom Fun! COG: 2.82 / Price: 9.99""";nan B0C7L4X5V4;nan PEPPAP766P;nan 1.0;nan nan;nan 14.95;nan -1.05;nan -31.53;nan -31.53;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -7.79;nan -2.82;nan -28.24;nan -28.24;nan -25.42;nan nan;nan -188.9;nan -1 001.42;nan nan;nan 210.9;nan 84;nan 1.19
"""Cry Baby My First Magnetic Calendar for Kids - Engaging Learning, Reusable Schedule, and Fun Chore Chart - Colorful Daily Routine! Perfect for Wall or Fridge, Preschool Learning, and Classroom Fun! COG: 2.82 / Price: 9.85""";nan B0C7L5HCJL;nan CRYBAB809P;nan 1.0;nan nan;nan 14.95;nan -1.05;nan -9.59;nan -9.59;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -7.79;nan -2.82;nan -6.30;nan -6.30;nan -3.48;nan nan;nan -42.14;nan -223.40;nan nan;nan 64.15;nan 40;nan 2.5
"""Kids Toys Water Doodle Mat - Cry Babies 19.7 X 29.6 Inches Reusable Large Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys COG: 2.99 / Price: 9.95""";nan B0CB4JVXX4;nan CRYBAB810P;nan 1.0;nan nan;nan 19.95;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -78.41;nan -2.99;nan -61.45;nan -61.45;nan -58.46;nan nan;nan -308.02;nan -2 055.18;nan nan;nan nan;nan 9;nan 11.11
"""12L Bamboo Rim Storage Basket - Laundry Hamper with Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 5.04 / Price: 4.5""";nan B0C5MQS7LS;nan HOMEXX009G;nan nan;nan nan;nan nan;nan nan;nan -1.56;nan -1.56;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -14.72;nan nan;nan -16.28;nan -16.28;nan -16.28;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""20L Bamboo Rim Storage Basket - Laundry Hamper with Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 5.45 / Price: 9""";nan B0C5MRKMJR;nan HOMEXX010G;nan nan;nan nan;nan nan;nan nan;nan -4.2;nan -4.2;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -8.05;nan nan;nan -12.25;nan -12.25;nan -12.25;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Bamboo Rim Storage Basket - 9 Compartments Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 4.57 / Price: 3.9""";nan B0C5MRNX4F;nan HOMEXX001G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -16.77;nan nan;nan -16.77;nan -16.77;nan -16.77;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""30L Bamboo Rim Storage Basket - Laundry Hamper with Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 5.98 / Price: 16.55""";nan B0C5MRWXJQ;nan HOMEXX008G;nan nan;nan nan;nan nan;nan nan;nan -5.16;nan -5.16;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -10.94;nan nan;nan -16.10;nan -16.10;nan -16.1;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Laundry Basket - 49L Round Storage Bin Space Saving - Bamboo Handles for Clothes, Towels & Toys, Freestanding Collapsible Laundry Hamper | Bedroom, Bathroom, Dorm & Laundry Room - Grey COG: 6.66 / Price: 7.99""";nan B0C5MSFG65;nan HOMEXX007G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -16.87;nan nan;nan -16.87;nan -16.87;nan -16.87;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Bamboo Rim Storage Basket - 3 Compartments Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 4.35 / Price: 3.95""";nan B0C5MSHJDK;nan HOMEXX003G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -16;nan nan;nan -16.00;nan -16.00;nan -16;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Laundry hamper - 46L Storage Basket Space Saving - Bamboo Handles for Clothes, Towels & Toys, Freestanding Collapsible Laundry Hamper | Bedroom, Bathroom, Dorm & Laundry Room – Grey COG: 6.23 / Price: 7.99""";nan B0C5MTBX3V;nan HOMEXX005G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -19.57;nan nan;nan -19.57;nan -19.57;nan -19.57;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Bamboo Rim Storage Basket - 4 Compartments Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 4.35 / Price: 3.9""";nan B0C5MTHTX2;nan HOMEXX002G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -18.49;nan nan;nan -18.49;nan -18.49;nan -18.49;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Laundry Basket with Lid - 49L Round Storage Bin Space Saving - Bamboo Handles for Clothes, Towels & Toys, Freestanding Collapsible Laundry Hamper | Bedroom, Bathroom, Dorm & Laundry Room - Grey COG: 7.91 / Price: 7.99""";nan B0C5MVHLSV;nan HOMEXX006G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -47.32;nan nan;nan -47.32;nan -47.32;nan -47.32;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Laundry hamper with Lid - 46L Storage Basket Space Saving - Bamboo Handles for Clothes, Towels & Toys, Freestanding Collapsible Laundry Hamper | Bedroom, Bathroom, Dorm & Laundry Room – Grey COG: 7.21 / Price: 18.85""";nan B0C5MVJD7Z;nan HOMEXX004G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -36.75;nan nan;nan -36.75;nan -36.75;nan -36.75;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""La Granja de Zenon Magnetic Daily Calendar COG: 2.93 / Price: 5.95""";nan B0C7L6QTPH;nan LAGDZE809P;nan nan;nan nan;nan nan;nan nan;nan -11.69;nan -11.69;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan nan;nan nan;nan -11.69;nan -11.69;nan -11.69;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Kids Toys Water Doodle Mat - Peppa Pig Reusable Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys (50cm x 70cm) COG: 2.71 / Price: 19.95""";nan B0CB4GXSHC;nan PEPPAP767P;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -132.12;nan nan;nan -132.12;nan -132.12;nan -132.12;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Kids Toys Water Doodle Mat - Peppa Pig Reusable Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys (100cm x 100cm) COG: 7.5 / Price: 28.95""";nan B0CB4HHTXS;nan PEPPAP753P;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -892.06;nan nan;nan -892.06;nan -892.06;nan -892.06;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Kids Toys Water Doodle Mat - La Granja de Zenon 27.5 X 19.6 Inches Reusable Large Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys COG: 3.84 / Price: 6.99""";nan B0CB4HN56F;nan LAGDZE810P;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -59.93;nan nan;nan -59.93;nan -59.93;nan -59.93;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Kids Toys Water Doodle Mat - Pocoyo 27.5 X 19.6 Inches Reusable Large Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys COG: 3.54 / Price: 11.95""";nan B0CB4JCSGZ;nan POCOYO803P;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -59.93;nan nan;nan -59.93;nan -59.93;nan -59.93;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
